protein,PAM50 mRNA
NP_005500,0.3421924001181399
NP_001005619,0.3854745667659163
NP_001005731,0.3837404067493969
NP_079330,0.2057612784093332
NP_008986,0.28602633851845327
NP_056111,0.24355503960689429
NP_001123520,0.2472992447161749
NP_653259,0.29246062756865127
NP_060101,0.27343458979424595
NP_940890,0.25008178783789725
NP_055627,0.3243613248462396
NP_001035864,0.3219722854231553
NP_061903,0.4553069297299028
NP_057417,0.26129789977511875
NP_001158287,0.23564613364109122
NP_001158286,0.2345534702537011
NP_055524,0.2517644530944961
NP_570849,0.22184677811212958
NP_004808,0.3226142382644063
NP_001163886,0.3249000594671946
NP_001163885,0.33698257672759113
NP_001261,0.20983772504260254
NP_004694,0.612239975605894
NP_001077054,0.6101714277888639
NP_000170,0.36357772040456465
NP_001229696,0.5758070087788755
NP_056255,0.5790560112259852
NP_002289,0.31677510959655264
NP_005023,0.20399791383609175
NP_001193980,0.3349295946927516
NP_056097,0.33634481291527446
NP_055912,0.23829016919333923
NP_001193973,0.22462743829577844
NP_542194,0.30330560707994964
NP_954650,0.29032335287055727
NP_006380,0.3416095680828039
NP_001035957,0.21128525051307398
NP_060110,0.39445963488173486
NP_001167448,0.38453214945149755
NP_004902,0.26207336629239875
NP_066964,0.21127538585769595
NP_060554,0.2767181957060729
NP_001129069,0.28122601989403134
NP_006588,0.32576973484471866
NP_005337,0.34819509427031897
NP_068814,0.3168148725818496
NP_694881,0.2982489430484706
NP_005518,0.3909078192011788
NP_002146,0.4670215510947575
NP_060898,0.3509617543067219
NP_005959,0.22900456639663277
NP_115784,0.3643001250458588
NP_031387,0.3745733453640153
NP_002499,0.37691468797184935
NP_060414,0.4616737731012495
NP_004658,0.20159119596412095
NP_054831,0.2918112456136372
NP_003472,0.24574124577496217
NP_001034230,0.2939659452963292
NP_619538,0.23035524731450072
NP_036387,0.2829759010165312
NP_036265,0.3583696216124454
NP_060857,0.3401307920860729
NP_477352,0.22629372583823004
NP_001005360,0.2616413548102913
NP_001005361,0.2697764935968082
NP_004936,0.26307137010148607
NP_056384,0.26323541203350787
NP_004125,0.418453671245943
NP_001026884,0.2174405775992063
NP_071934,0.2153127837415566
NP_003617,0.29459918801092366
NP_003651,0.2928950542405828
NP_055868,0.21506188973274237
NP_055423,0.2939595393897755
NP_055191,0.20835169010922494
NP_001028200,0.27560499922103276
NP_005115,0.20385417535950592
NP_056280,0.4408130927700751
NP_002106,0.3067669511598331
NP_619520,0.26366568330620255
NP_001155855,0.41120232753145936
NP_055318,0.21413622456624343
NP_000499,0.32822558472422675
NP_004477,0.3784533145647007
NP_001099008,0.202166716707223
NP_001120683,0.3425144103578882
NP_001245227,0.3355480502217931
NP_001070675,0.20602736362408436
NP_060621,0.2931885352890712
NP_057441,0.4189373771816332
NP_001107018,0.42133121000069695
NP_001107019,0.38678478999210725
NP_036525,0.3339848387919719
NP_065910,0.37959024408930747
NP_001640,0.35934784286207216
NP_055464,0.31644882694657295
NP_689511,0.2749891193101523
NP_006169,0.24783495795087127
NP_002472,0.205884116251006
NP_001184060,0.22700287580434655
NP_002652,0.4005593734613615
NP_002365,0.35702906866751394
NP_001034627,0.3663885309109685
NP_000215,0.3455391322303034
NP_000214,0.2046077466384155
NP_002271,0.34643111431888807
NP_853515,0.3867677970039849
NP_002267,0.21720094280017496
NP_000413,0.4816643849481938
NP_002266,0.2282502510077361
NP_000517,0.441129773047389
